Label;Object ID;Total Intensity CSU 561;Mean Intensity CSU 561;Total Intensity CSU 488;Mean Intensity CSU 488;Total Intensity CSU 405;Mean Intensity CSU 405;Area;Parent Object ID (MO);Parent Trace ID;cell cycle
nucleus;654;6435868;11.289.016;9996583;17.534.789;20082422;3.522.614;5701;787;-1;S
nucleus;655;2682426;17.162.035;2598591;16.625.662;5741858;36.736.135;1563;787;-1;S
nucleus;656;2414458;1.714.814;194101;13.785.582;3847024.2;27.322.615;1408;788;-1;G1
nucleus;657;2948404;16.800.023;249025.02;14.189.459;4022777;22.921.807;1755;788;-1;G1
nucleus;658;3332359;18.492.559;1942742.1;10.781.033;4941003;27.419.551;1802;788;-1;S
nucleus;659;2752736;19.846.691;1546118;11.147.209;4794654;34.568.523;1387;788;-1;S
nucleus;660;2405147;15.184.009;280589;17.713.953;3947632;24.921.919;1584;789;-1;G1
nucleus;661;4673727;23.183.169;307071;15.231.697;6840712;33.932.102;2016;789;-1;G1
nucleus;662;2177296;16.800.123;259248;20.003.703;3873621;2.988.905;1296;789;-1;G1
nucleus;663;5023716;27.542.302;291526;15.982.785;4485026;24.588.958;1824;790;-1;G1
nucleus;664;4950573;24.752.866;305986;152.993;4509501;22.547.505;2000;790;-1;G1
nucleus;665;3572542;20.591.021;300129;17.298.502;4315193;24.871.428;1735;791;-1;G1
nucleus;666;3378522;18.593.958;301890;16.614.749;4323939;23.797.134;1817;791;-1;G1
nucleus;667;3026126;24.247.805;179972;14.420.833;4085352;32.735.193;1248;791;-1;G1
nucleus;668;3761333;24.810.903;244116;16.102.638;4164961;27.473.357;1516;792;-1;G1
nucleus;669;3897332.2;23.591.599;263636;15.958.595;3910854;2.367.345;1652;792;-1;G1
nucleus;670;3467691;32.775.908;156108;14.755.009;3493062;33.015.708;1058;793;-1;G1
nucleus;671;3241148;28.581.553;160628;14.164.726;3367227;29.693.359;1134;793;-1;G1
nucleus;672;4150264;27.448.835;1969799;13.027.771;4286455;2.834.957;1512;794;-1;S
nucleus;673;4855446;2.604.853;2402960;12.891.416;4513381;24.213.418;1864;794;-1;S
nucleus;675;5025870;33.550.535;900432.06;60.108.948;3261316;21.771.135;1498;797;-1;G1
nucleus;676;5736175;30.032.329;1037495;5.431.911;3899438;20.415.906;1910;797;-1;G1
nucleus;679;2663888;13.646.968;389021;19.929.355;3551565;18.194.493;1952;800;-1;G1
nucleus;680;2264133;14.740.449;321696;2.094.375;3305609;21.520.891;1536;800;-1;G1
nucleus;681;569928;54.072.864;4277078;40.579.487;2653188;25.172.561;1054;802;-1;G2
nucleus;682;966190;56.370.477;6423972;37.479.417;3405397;19.868.127;1714;802;-1;G2
nucleus;684;3923353;27.245.508;279281;19.394.514;3868145.2;26.862.119;1440;804;-1;G1
nucleus;685;4716271;25.631.907;337837;18.360.707;3942272;21.425.391;1840;804;-1;G1
nucleus;686;1309707;82.683.521;175489;11.078.851;3714393;23.449.451;1584;805;-1;G1
nucleus;687;1009365;76.933.307;144074;1.098.125;3227063;24.596.516;1312;805;-1;G1
nucleus;688;2552160;1.307.459;302149;15.478.944;4176890.2;21.398.003;1952;806;-1;G1
nucleus;689;2524894;12.425.659;302344;14.879.134;4254469;20.937.349;2032;806;-1;G1
nucleus;690;1323118;70.982.727;3459108;18.557.446;7117320;38.183.047;1864;807;-1;G2
nucleus;691;1410203;75.010.797;3595865;19.126.941;7506246;39.926.841;1880;807;-1;G2
nucleus;692;4020546;18.955.898;856782;4.039.519;4494473;21.190.349;2121;807;-1;G1
nucleus;693;3201188;16.664.175;662009;34.461.685;4505528;23.454.077;1921;807;-1;G1
nucleus;694;7116018;19.733.827;1428972;39.627.621;8830056;24.487.122;3606;807;-1;S
nucleus;695;1385504;12.359.536;131978;11.773.238;3244413;28.942.131;1121;810;-1;G1
nucleus;696;1798439.9;10.814.431;191163;11.495.069;4485289;26.971.069;1663;810;-1;G1
nucleus;697;4331221;17.897.607;4928622;20.366.206;7431966;30.710.603;2420;811;-1;S
nucleus;698;4182648;18.977.532;4726858;21.446.724;7253289;32.909.661;2204;811;-1;S
nucleus;699;1923934;10.736.239;211152;11.783.036;3613211;20.163.008;1792;813;-1;G1
nucleus;700;1743308;11.591.144;181589;12.073.737;3632996.8;24.155.564;1504;813;-1;G1
nucleus;701;3538380;21.991.174;254687;158.289;3927796.8;24.411.416;1609;814;-1;G1
nucleus;702;3950610.8;20.673.003;302660;15.837.781;4029626.2;21.086.479;1911;814;-1;G1
nucleus;705;4528547;2.528.502;1904814;10.635.477;4693333;26.205.098;1791;818;-1;S
nucleus;706;3971611;25.057.483;1736016;10.952.782;3955336.2;24.954.802;1585;818;-1;S
nucleus;708;3455048;17.818.711;255208;13.161.836;3940955;20.324.678;1939;820;-1;G1
nucleus;709;3124900;17.948.879;233362;13.403.906;3732547.2;21.439.099;1741;820;-1;G1
nucleus;710;2939580;26.845.479;908003;8.292.265;3108428;28.387.471;1095;821;-1;S
nucleus;711;3064684;26.396.934;961374;82.805.682;3369620;29.023.428;1161;821;-1;S
nucleus;713;1528429;97.476.337;185632;11.838.776;3217036.8;20.516.816;1568;827;-1;G1
nucleus;714;1309859;12.594.799;130301;12.528.942;2923636;28.111.885;1040;827;-1;G1
nucleus;715;3720908;22.148.262;224954.98;13.390.178;3378631;20.110.898;1680;828;-1;G1
nucleus;716;1126317;16.442.584;88748;12.955.913;1738435;25.378.613;685;828;-1;G1
nucleus;717;717273;12.785.615;70233;12.519.251;1118341;19.934.777;561;828;-1;G1
nucleus;718;4355063;24.370.806;1905664.9;10.664.045;4124392;23.079.978;1787;829;-1;S
nucleus;719;5141683;26.060.227;2425516;12.293.542;4491961;22.767.161;1973;829;-1;S
nucleus;721;2634191;14.782.217;234252;13.145.454;2880439;1.616.408;1782;832;-1;G1
nucleus;722;2411134;15.821.089;197201.02;12.939.699;2959930;19.422.113;1524;832;-1;G1
nucleus;723;2648277;14.519.062;241161.98;132.216;3502140;19.200.328;1824;833;-1;G1
nucleus;724;2158482;15.506.337;195913;1.407.421;3315531;23.818.469;1392;833;-1;G1
nucleus;725;2197518;1.064.689;249031;12.065.456;3574652;1.731.905;2064;834;-1;G1
nucleus;726;1822981;11.508.718;194708;12.292.171;3372694;21.292.261;1584;834;-1;G1
nucleus;727;1511701;81.449.408;6668708;3.593.054;5965747;32.143.032;1856;835;-1;G2
nucleus;728;1851960.9;68.489.679;8054274;29.786.516;6698783.5;24.773.608;2704;835;-1;G2
nucleus;729;2840790;17.743.848;219531;13.712.117;3293687;20.572.686;1601;836;-1;G1
nucleus;730;3448706;17.435.319;269736;13.636.804;4161007;21.036.436;1978;836;-1;G1
nucleus;731;3466086;23.061.118;206875;13.764.139;3923697.8;26.105.774;1503;836;-1;G1
nucleus;732;3193943;19.887.566;213550;13.297.011;3685786.8;22.950.105;1606;836;-1;G1
nucleus;733;2824312;1858.01.00;2527688;16.629.526;6417007.5;42.217.153;1520;837;-1;S
nucleus;734;2712698;13.455.844;2383462;11.822.728;6069646;30.107.371;2016;837;-1;S
nucleus;735;3462122.2;21.318.486;236894.02;1.458.707;3829980;23.583.621;1624;838;-1;G1
nucleus;736;3775614.2;24.677.217;213091;13.927.516;3735384;24.414.275;1530;838;-1;G1
nucleus;737;2215180;2.081.936;155435;14.608.553;3139984;29.511.128;1064;838;-1;G1
nucleus;738;3643169;25.194.807;203373;14.064.523;3545333;24.518.208;1446;838;-1;G1
nucleus;739;1782129;57.993.134;5770939;18.779.496;8728389;28.403.479;3073;839;-1;G2
nucleus;740;1303556;12.534.192;140968;13.554.616;3388297;32.579.778;1040;839;-1;G1
nucleus;741;1254185;11.876.752;135567;12.837.784;3418357;32.370.806;1056;839;-1;G1
nucleus;742;1431889;5.630.708;4755464;18.700.212;6124290.5;24.082.935;2543;839;-1;G2
nucleus;743;1728475;15.432.812;139262;12.434.107;2991078;26.706.055;1120;840;-1;G1
nucleus;744;2379034;14.868.962;207115.98;12.944.749;3688841;23.055.256;1600;840;-1;G1
nucleus;745;1789152;13.097.745;179344;13.129.137;3373285;24.694.619;1366;840;-1;G1
nucleus;746;1667481.1;13.600.988;165956.98;13.536.459;3573157;29.144.836;1226;840;-1;G1
nucleus;749;2284431;74.169.836;3712494.8;12.053.555;8393257;27.250.835;3080;843;-1;S
nucleus;750;1614635;7.732.926;2924497;14.006.212;6117897;29.300.273;2088;843;-1;G2
nucleus;751;3265324;19.789.843;228610;13.855.151;3101827;18.798.951;1650;844;-1;G1
